temperature(C),prey_equilibrium(ind/m3),predator_equilibrium(ind/m3),coexistence_exists
1.000000000000000000e+01,8.243606353500641148e+01,1.072632022124657780e+01,1.000000000000000000e+00
1.007537688442211099e+01,8.274733842149910856e+01,1.055211995259461411e+01,1.000000000000000000e+00
1.015075376884422198e+01,8.305978866803215510e+01,1.037664968526972764e+01,1.000000000000000000e+00
1.022613065326633119e+01,8.337341871271240734e+01,1.019990217490829743e+01,1.000000000000000000e+00
1.030150753768844218e+01,8.368823301040491458e+01,1.002187013802856619e+01,1.000000000000000000e+00
1.037688442211055317e+01,8.400423603279602958e+01,9.842546251822552605e+00,1.000000000000000000e+00
1.045226130653266239e+01,8.432143226845700212e+01,9.661923153946817777e+00,1.000000000000000000e+00
1.052763819095477338e+01,8.463982622290778579e+01,9.479993442312013130e+00,1.000000000000000000e+00
1.060301507537688437e+01,8.495942241868088729e+01,9.296749674871568558e+00,1.000000000000000000e+00
1.067839195979899536e+01,8.528022539538575586e+01,9.112184369408948825e+00,1.000000000000000000e+00
1.075376884422110635e+01,8.560223970977314423e+01,8.926290003324051980e+00,1.000000000000000000e+00
1.082914572864321556e+01,8.592546993579993853e+01,8.739059013418270183e+00,1.000000000000000000e+00
1.090452261306532655e+01,8.624992066469410190e+01,8.550483795678532672e+00,1.000000000000000000e+00
1.097989949748743754e+01,8.657559650501980286e+01,8.360556705060215421e+00,1.000000000000000000e+00
1.105527638190954676e+01,8.690250208274301258e+01,8.169270055268780695e+00,1.000000000000000000e+00
1.113065326633165775e+01,8.723064204129707377e+01,7.976616118540435174e+00,1.000000000000000000e+00
1.120603015075376874e+01,8.756002104164878119e+01,7.782587125421399854e+00,1.000000000000000000e+00
1.128140703517587973e+01,8.789064376236449050e+01,7.587175264546272224e+00,1.000000000000000000e+00
1.135678391959799072e+01,8.822251489967665350e+01,7.390372682414984240e+00,1.000000000000000000e+00
1.143216080402009993e+01,8.855563916755045284e+01,7.192171483168707802e+00,1.000000000000000000e+00
1.150753768844221092e+01,8.889002129775082039e+01,6.992563728364534548e+00,1.000000000000000000e+00
1.158291457286432191e+01,8.922566603990959777e+01,6.791541436748989469e+00,1.000000000000000000e+00
1.165829145728643113e+01,8.956257816159302365e+01,6.589096584030304626e+00,1.000000000000000000e+00
1.173366834170854212e+01,8.990076244836944852e+01,6.385221102649476954e+00,1.000000000000000000e+00
1.180904522613065311e+01,9.024022370387736203e+01,6.179906881550173203e+00,1.000000000000000000e+00
1.188442211055276410e+01,9.058096674989351982e+01,5.973145765947379893e+00,1.000000000000000000e+00
1.195979899497487509e+01,9.092299642640153934e+01,5.764929557094800927e+00,1.000000000000000000e+00
1.203517587939698430e+01,9.126631759166053826e+01,5.555250012051101471e+00,1.000000000000000000e+00
1.211055276381909529e+01,9.161093512227428448e+01,5.344098843444798241e+00,1.000000000000000000e+00
1.218592964824120628e+01,9.195685391326030356e+01,5.131467719238036906e+00,1.000000000000000000e+00
1.226130653266331549e+01,9.230407887811952605e+01,4.917348262489011468e+00,1.000000000000000000e+00
