time(days),prey(ind/m3),predator(ind/m3)
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+01
1.000200040008001612e-01,5.136210293720925080e+01,9.830946149271250434e+00
2.000400080016003224e-01,5.271663025063887886e+01,9.667377051356458750e+00
3.000600120024005113e-01,5.406112255534026900e+01,9.509096521255488099e+00
4.000800160032006447e-01,5.539320021640955360e+01,9.355912192617491741e+00
5.001000200040007782e-01,5.671058542628631471e+01,9.207635737123396780e+00
6.001200240048010226e-01,5.801108064433194045e+01,9.064082472640851762e+00
7.001400280056011560e-01,5.929262391117299558e+01,8.925072027306915956e+00
8.001600320064012895e-01,6.055330403676380513e+01,8.790428528500465077e+00
9.001800360072014229e-01,6.179136060038649703e+01,8.659980602842200170e+00
1.000200040008001556e+00,6.300518395065097366e+01,8.533561376194645831e+00
1.100220044008801690e+00,6.419331520549488346e+01,8.411008473662146656e+00
1.200240048009602045e+00,6.535444625218369197e+01,8.292164019590865465e+00
1.300260052010402179e+00,6.648742551080330543e+01,8.176874614118156970e+00
1.400280056011202312e+00,6.759129757976458563e+01,8.064991997187739514e+00
1.500300060012002445e+00,6.866527483287472933e+01,7.956373280254776859e+00
1.600320064012802579e+00,6.970871431541124252e+01,7.850880296478234044e+00
1.700340068013602712e+00,7.072111763990315580e+01,7.748379579791898841e+00
1.800360072014402846e+00,7.170213098613098168e+01,7.648742364904381752e+00
1.900380076015202979e+00,7.265154510112681407e+01,7.551844587299116895e+00
2.000400080016003113e+00,7.356929529917421462e+01,7.457566883234360233e+00
2.100420084016803468e+00,7.445545939561291959e+01,7.365794578631636114e+00
2.200440088017603379e+00,7.531020629665549393e+01,7.276417832323397228e+00
2.300460092018403735e+00,7.613381764532570628e+01,7.189332256472035887e+00
2.400480096019204090e+00,7.692666732821832909e+01,7.104437788764750294e+00
2.500500100020004002e+00,7.768920479058684236e+01,7.021638443108853878e+00
2.600520104020804357e+00,7.842195503634349052e+01,6.940842309631777951e+00
2.700540108021604269e+00,7.912551862805926817e+01,6.861961554681070830e+00
2.800560112022404624e+00,7.980057168696386327e+01,6.784912420824398716e+00
2.900580116023204535e+00,8.044784376417875649e+01,6.709615079245134339e+00
3.000600120024004891e+00,8.106807811882303838e+01,6.635994170275434811e+00
3.100620124024804802e+00,8.166205795973314707e+01,6.563978367018478366e+00
3.200640128025605158e+00,8.223058621413126446e+01,6.493499470183157207e+00
3.300660132026405513e+00,8.277448509751883421e+01,6.424492399515515650e+00
3.400680136027205425e+00,8.329459611367656180e+01,6.356895193798742127e+00
3.500700140028005780e+00,8.379178005466447132e+01,6.290649010853173628e+00
3.600720144028805692e+00,8.426691309471850388e+01,6.225698092585117749e+00
3.700740148029606047e+00,8.472084373974273319e+01,6.161989838756237070e+00
3.800760152030405958e+00,8.515440804193899282e+01,6.099474930957267560e+00
3.900780156031206314e+00,8.556843469843325067e+01,6.038106370135343681e+00
4.000800160032006225e+00,8.596374215244495076e+01,5.977839372526113415e+00
4.100820164032806581e+00,8.634113859328694218e+01,5.918631369653734708e+00
4.200840168033606936e+00,8.670142195636556437e+01,5.860442008330879915e+00
4.300860172034407292e+00,8.704537890084075968e+01,5.803233130207146040e+00
